Age,Height,Shoe size,Weight,Gender,Hair length,MIddle and index finger,Middle and ring finger,Middle and little finger
19,160,36,50,женский,80,3,4,5
20,167,39,57,женский,45,8,5,12
21,159,36,46,женский,39,10,8,25
21,168,39,66,женский,60,10,10,35
21,161,36,53,женский,30,5,15,40
21,168,40,,женский,50,6,10,30
22,161,38,52,женский,40,5,13,35
21,160,37,50,женский,50,9,10,32
22,168,38,,женский,40,10,5,20
20,162,37,50,женский,20,4,11,25
21,164,37,57,женский,45,10,6,30
29,176,39,70,женский,10,7,11,30
20,158,37,44,женский,25,9,10,35
18,176,38,58,женский,70,16,13,28
21,162,38,52,женский,60,13,12,40
23,155,36,50,женский,70,5,4,3
21,170,39,,женский,50,3,2,7
20,176,42,62,мужской,2,5,5,20
21,167,36,50,женский,45,10,5,25
23,168,39,59,женский,30,13,23,45
19,169,38,43,женский,45,8,9,15
18,161,37,51,женский,40,9,16,35
19,169,41,62,женский,150,9,15,25
18,164,39,54,женский,60,7,10,35
